Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0204687500725,0.345440464676358,-0.185703233582899,
,,,-0.02041666674,0.35368167120032,-0.178065044572577,
,,,-0.0203645834075,0.361922877724282,-0.0959545127116144,
,,,-0.020312500075,0.370576144574443,-0.021482169860974,
,,,-0.0202604167425,0.378817351098405,0.0911811180412769,
,,,-0.02020833341,0.387470617948566,0.305050410330296,
,,,-0.0201562500775,0.396123884798726,0.696507597109303,
,,,-0.020104166745,0.404365091322688,1.38776370254345,
,,,-0.0200520834125,0.413018358172849,2.34062778158113,
,,,-0.02000000008,0.422083685349207,2.2260549464263,
,,,-0.0199479167475,0.43032489187317,1.08605523663573,
,,,-0.019895833415,0.438154038070934,0.215301689459011,
,,,-0.0198437500825,0.444747003290104,-0.191431875340641,
,,,-0.01979166675,0.450103787530679,-0.397662978619337,
,,,-0.0197395834175,0.455872632097453,-0.500778530258685,
,,,-0.019687500085,0.463701778295217,-0.605803629150614,
,,,-0.0196354167525,0.471118864166783,-0.674547330243513,
,,,-0.01958333342,0.478535950038349,-0.645904121454805,
,,,-0.0195312500875,0.485953035909915,-0.672637782990932,
,,,-0.019479166755,0.49378218210768,-0.703190539032221,
,,,-0.0194270834225,0.501199267979246,-0.69937144452706,
,,,-0.01937500009,0.50902841417701,-0.680275972001255,
,,,-0.0193229167575,0.516857560374774,-0.666909141233191,
,,,-0.019270833425,0.52427464624634,-0.645904121454805,
,,,-0.0192187500925,0.531279671791708,-0.636356385191903,
,,,-0.01916666676,0.539108817989472,-0.653542310465127,
,,,-0.0191145834275,0.54611384353484,-0.640175479697064,
,,,-0.019062500095,0.553530929406406,-0.634446837939322,
,,,-0.0190104167625,0.560535954951774,-0.584798609372228,
,,,-0.01895833343,0.56795304082334,-0.567612684099004,
,,,-0.0189062500975,0.575370126694907,-0.559974495088682,
,,,-0.018854166765,0.582375152240274,-0.565703136846423,
,,,-0.0188020834325,0.589380177785642,-0.529421739047393,
,,,-0.0187500001,0.596797263657209,-0.523693097289652,
,,,-0.0186979167675,0.603802289202577,-0.512235813774168,
,,,-0.018645833435,0.611219375074143,-0.525602644542232,
,,,-0.0185937501025,0.618224400619511,-0.535150380805135,
,,,-0.01854166677,0.625229426164879,-0.537059928057715,
,,,-0.0184895834375,0.632234451710247,-0.512235813774168,
,,,-0.018437500105,0.639239477255614,-0.468316226964816,
,,,-0.0183854167725,0.646244502800982,-0.487411699490622,
,,,-0.01833333344,0.65324952834635,-0.424396640155464,
,,,-0.0182812501075,0.65984249356552,-0.426306187408045,
,,,-0.018229166775,0.666847519110888,-0.428215734660625,
,,,-0.0181770834425,0.673852544656256,-0.44349211268127,
,,,-0.01812500011,0.680445509875426,-0.437763470923528,
,,,-0.0180729167775,0.687862595746992,-0.399572525871918,
