Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127587,,-0.025,0.373718104849104,-0.191431875340641,
Firmware Version:,02.50.2019022736,,-0.0249479166675,0.372893984196708,-0.210527347866446,
Start Time:,2023-04-17 16:06:21.287,,-0.024895833335,0.371657803218113,-0.208617800613865,
,,,-0.0248437500025,0.370833682565717,-0.200979611603543,
Analog Sample Count:,960,,-0.02479166667,0.370009561913321,-0.202889158856124,
Function Sample Count:,0,,-0.0247395833375,0.369185441260925,-0.202889158856124,
Waveform Memory Sample Count:,0,,-0.024687500005,0.36794926028233,-0.208617800613865,
Digital Sample Count:,0,,-0.0246354166725,0.367125139629934,-0.241080103907734,
,,,-0.02458333334,0.36588895865134,-0.208617800613865,
Setup Text Information:,,,-0.0245312500075,0.364240717346547,-0.246808745665476,
ANALOG,,,-0.024479166675,0.362592476041755,-0.252537387423217,
Channel 1,,,-0.0244270833425,0.36135629506316,-0.220075084129348,
Scale,164 mV/,,-0.02437500001,0.35929599343217,-0.2639946709387,
Pos,86.1 mV,,-0.0243229166775,0.357235691801179,-0.258266029180959,
Coup,,,-0.024270833345,0.355175390170189,-0.258266029180959,
BW,Off,,-0.0242187500125,0.352703028213,-0.248718292918056,
Inv,Off,,-0.02416666668,0.350230666255811,-0.252537387423217,
Imp,1M Ohm,,-0.0241145833475,0.347346243972424,-0.275451954454184,
Trace Label,1,,-0.024062500015,0.344461821689038,-0.265904218191281,
Probe,1,,-0.0240104166825,0.340753278753255,-0.279271048959345,
Skew,0 s,,-0.02395833335,0.337044735817472,-0.269723312696442,
,,,-0.0239062500175,0.33292413255549,-0.241080103907734,
Channel 2,,,-0.023854166685,0.328391468967311,-0.237261009402573,
Scale,760 mV/,,-0.0238020833525,0.323858805379132,-0.252537387423217,
Pos,855 mV,,-0.02375000002,0.319326141790953,-0.248718292918056,
Coup,,,-0.0236979166875,0.314793478202773,-0.260175576433539,
BW,Off,,-0.023645833355,0.310260814614594,-0.267813765443861,
Inv,Off,,-0.0235937500225,0.305316090700217,-0.279271048959345,
Imp,1M Ohm,,-0.02354166669,0.299959306459641,-0.250627840170637,
Trace Label,2,,-0.0234895833575,0.295426642871462,-0.254446934675798,
