Description	
Number of Runs	100
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	950	7	1	05/15/23 04:34:24 PM	
131	950	1	1	05/15/23 04:34:26 PM	
132	950	5	1	05/15/23 04:34:27 PM	
133	950	2	1	05/15/23 04:34:28 PM	
134	950	5	1	05/15/23 04:34:29 PM	
135	950	1	1	05/15/23 04:34:30 PM	
136	950	2	1	05/15/23 04:34:31 PM	
137	950	1	1	05/15/23 04:34:32 PM	
138	950	2	1	05/15/23 04:34:34 PM	
139	950	1	1	05/15/23 04:34:35 PM	
140	950	2	1	05/15/23 04:34:36 PM	
141	950	3	1	05/15/23 04:34:37 PM	
142	950	3	1	05/15/23 04:34:38 PM	
143	950	1	1	05/15/23 04:34:39 PM	
144	950	1	1	05/15/23 04:34:41 PM	
145	950	2	1	05/15/23 04:34:42 PM	
146	950	2	1	05/15/23 04:34:43 PM	
147	950	3	1	05/15/23 04:34:44 PM	
148	950	1	1	05/15/23 04:34:45 PM	
149	950	2	1	05/15/23 04:34:46 PM	
150	950	2	1	05/15/23 04:34:48 PM	
151	950	2	1	05/15/23 04:34:49 PM	
152	950	5	1	05/15/23 04:34:50 PM	
153	950	2	1	05/15/23 04:34:51 PM	
154	950	1	1	05/15/23 04:34:52 PM	
155	950	2	1	05/15/23 04:34:53 PM	
156	950	5	1	05/15/23 04:34:54 PM	
157	950	1	1	05/15/23 04:34:56 PM	
158	950	1	1	05/15/23 04:34:57 PM	
159	950	6	1	05/15/23 04:34:58 PM	
160	950	3	1	05/15/23 04:34:59 PM	
161	950	6	1	05/15/23 04:35:00 PM	
162	950	1	1	05/15/23 04:35:01 PM	
163	950	3	1	05/15/23 04:35:02 PM	
164	950	3	1	05/15/23 04:35:04 PM	
165	950	4	1	05/15/23 04:35:05 PM	
166	950	3	1	05/15/23 04:35:06 PM	
167	950	2	1	05/15/23 04:35:07 PM	
168	950	2	1	05/15/23 04:35:08 PM	
169	950	3	1	05/15/23 04:35:09 PM	
170	950	3	1	05/15/23 04:35:10 PM	
171	950	4	1	05/15/23 04:35:12 PM	
172	950	2	1	05/15/23 04:35:13 PM	
173	950	2	1	05/15/23 04:35:14 PM	
174	950	4	1	05/15/23 04:35:15 PM	
175	950	4	1	05/15/23 04:35:16 PM	
176	950	2	1	05/15/23 04:35:17 PM	
177	950	5	1	05/15/23 04:35:19 PM	
178	950	2	1	05/15/23 04:35:20 PM	
179	950	3	1	05/15/23 04:35:21 PM	
180	950	2	1	05/15/23 04:35:22 PM	
181	950	1	1	05/15/23 04:35:23 PM	
182	950	2	1	05/15/23 04:35:24 PM	
183	950	4	1	05/15/23 04:35:25 PM	
184	950	1	1	05/15/23 04:35:27 PM	
185	950	2	1	05/15/23 04:35:28 PM	
186	950	4	1	05/15/23 04:35:29 PM	
187	950	3	1	05/15/23 04:35:30 PM	
188	950	5	1	05/15/23 04:35:31 PM	
189	950	2	1	05/15/23 04:35:32 PM	
190	950	2	1	05/15/23 04:35:34 PM	
191	950	6	1	05/15/23 04:35:35 PM	
192	950	4	1	05/15/23 04:35:36 PM	
193	950	1	1	05/15/23 04:35:37 PM	
194	950	2	1	05/15/23 04:35:38 PM	
195	950	2	1	05/15/23 04:35:39 PM	
196	950	3	1	05/15/23 04:35:40 PM	
197	950	0	1	05/15/23 04:35:42 PM	
198	950	0	1	05/15/23 04:35:43 PM	
199	950	4	1	05/15/23 04:35:44 PM	
200	950	1	1	05/15/23 04:35:45 PM	
201	950	2	1	05/15/23 04:35:46 PM	
202	950	2	1	05/15/23 04:35:47 PM	
203	950	0	1	05/15/23 04:35:48 PM	
204	950	3	1	05/15/23 04:35:50 PM	
205	950	5	1	05/15/23 04:35:51 PM	
206	950	2	1	05/15/23 04:35:52 PM	
207	950	3	1	05/15/23 04:35:53 PM	
208	950	5	1	05/15/23 04:35:54 PM	
209	950	1	1	05/15/23 04:35:55 PM	
210	950	2	1	05/15/23 04:35:57 PM	
211	950	0	1	05/15/23 04:35:58 PM	
212	950	3	1	05/15/23 04:35:59 PM	
213	950	3	1	05/15/23 04:36:00 PM	
214	950	1	1	05/15/23 04:36:01 PM	
215	950	0	1	05/15/23 04:36:02 PM	
216	950	3	1	05/15/23 04:36:03 PM	
217	950	2	1	05/15/23 04:36:05 PM	
218	950	5	1	05/15/23 04:36:06 PM	
219	950	4	1	05/15/23 04:36:07 PM	
220	950	1	1	05/15/23 04:36:08 PM	
221	950	3	1	05/15/23 04:36:09 PM	
222	950	3	1	05/15/23 04:36:10 PM	
223	950	1	1	05/15/23 04:36:11 PM	
224	950	3	1	05/15/23 04:36:13 PM	
225	950	3	1	05/15/23 04:36:14 PM	
226	950	2	1	05/15/23 04:36:15 PM	
227	950	2	1	05/15/23 04:36:16 PM	
228	950	7	1	05/15/23 04:36:17 PM	
229	950	3	1	05/15/23 04:36:18 PM	
230	950	4	1	05/15/23 04:36:19 PM	
231	950	2	1	05/15/23 04:36:21 PM	
232	950	3	1	05/15/23 04:36:22 PM	
233	950	2	1	05/15/23 04:36:23 PM	
234	950	4	1	05/15/23 04:36:24 PM	
235	950	1	1	05/15/23 04:36:25 PM	
236	950	1	1	05/15/23 04:36:26 PM	
237	950	2	1	05/15/23 04:36:27 PM	
238	950	1	1	05/15/23 04:36:29 PM	
239	950	4	1	05/15/23 04:36:30 PM	
240	950	2	1	05/15/23 04:36:31 PM	
241	950	5	1	05/15/23 04:36:32 PM	
242	950	3	1	05/15/23 04:36:33 PM	
243	950	4	1	05/15/23 04:36:34 PM	
244	950	1	1	05/15/23 04:36:35 PM	
245	950	1	1	05/15/23 04:36:37 PM	
246	950	2	1	05/15/23 04:36:38 PM	
247	950	2	1	05/15/23 04:36:39 PM	
248	950	3	1	05/15/23 04:36:40 PM	
249	950	3	1	05/15/23 04:36:41 PM	
250	950	3	1	05/15/23 04:36:42 PM	
251	950	3	1	05/15/23 04:36:44 PM	
252	950	3	1	05/15/23 04:36:45 PM	
253	950	1	1	05/15/23 04:36:46 PM	
254	950	4	1	05/15/23 04:36:47 PM	
255	950	5	1	05/15/23 04:36:48 PM	
256	950	4	1	05/15/23 04:36:49 PM	
257	950	0	1	05/15/23 04:36:50 PM	
258	950	2	1	05/15/23 04:36:52 PM	
259	950	7	1	05/15/23 04:36:53 PM	
260	950	1	1	05/15/23 04:36:54 PM	
261	950	3	1	05/15/23 04:36:55 PM	
262	950	3	1	05/15/23 04:36:56 PM	
263	950	3	1	05/15/23 04:36:57 PM	
264	950	2	1	05/15/23 04:36:58 PM	
265	950	1	1	05/15/23 04:36:59 PM	
266	950	1	1	05/15/23 04:37:01 PM	
267	950	2	1	05/15/23 04:37:02 PM	
268	950	5	1	05/15/23 04:37:03 PM	
269	950	2	1	05/15/23 04:37:04 PM	
270	950	3	1	05/15/23 04:37:05 PM	
271	950	4	1	05/15/23 04:37:06 PM	
272	950	4	1	05/15/23 04:37:08 PM	
273	950	0	1	05/15/23 04:37:09 PM	
274	950	5	1	05/15/23 04:37:10 PM	
275	950	2	1	05/15/23 04:37:11 PM	
276	950	3	1	05/15/23 04:37:12 PM	
277	950	3	1	05/15/23 04:37:13 PM	
278	950	3	1	05/15/23 04:37:14 PM	
279	950	1	1	05/15/23 04:37:16 PM	
280	950	1	1	05/15/23 04:37:17 PM	
281	950	4	1	05/15/23 04:37:18 PM	
282	950	2	1	05/15/23 04:37:19 PM	
283	950	3	1	05/15/23 04:37:20 PM	
284	950	5	1	05/15/23 04:37:21 PM	
285	950	2	1	05/15/23 04:37:22 PM	
286	950	3	1	05/15/23 04:37:24 PM	
287	950	3	1	05/15/23 04:37:25 PM	
288	950	6	1	05/15/23 04:37:26 PM	
289	950	3	1	05/15/23 04:37:27 PM	
290	950	5	1	05/15/23 04:37:28 PM	
291	950	1	1	05/15/23 04:37:29 PM	
292	950	3	1	05/15/23 04:37:31 PM	
